,Age,Gender,Weight,Daily Water Intake,Physical Activity Level,Weather,Hydration Level
3161,18,Female,72,2.66,Moderate,Cold,Good
3162,57,Male,63,2.09,High,Cold,Good
3163,23,Female,45,2.29,Moderate,Hot,Good
3164,68,Male,69,2.84,Low,Hot,Good
3165,60,Male,54,1.61,Moderate,Normal,Poor
3166,50,Male,61,3.97,High,Hot,Good
3167,27,Female,75,3.32,Low,Hot,Good
3168,34,Female,94,3.66,High,Normal,Good
3169,43,Male,73,3.58,Moderate,Hot,Good
3170,33,Female,55,2.83,High,Normal,Good
3171,52,Male,77,2.15,Low,Cold,Poor
3172,30,Male,108,5.39,High,Hot,Good
3173,42,Female,78,3.41,High,Cold,Good
3174,37,Female,51,2.49,Low,Hot,Good
3175,54,Female,73,2.95,High,Normal,Good
3176,34,Female,92,3.47,High,Cold,Good
3177,65,Male,56,2.81,Moderate,Hot,Good
3178,51,Male,51,2.68,High,Hot,Good
3179,32,Female,109,2.94,Low,Normal,Poor
3180,42,Female,103,4.42,High,Hot,Good
3181,39,Female,50,2.2,Moderate,Hot,Good
3182,41,Male,65,1.98,Low,Normal,Good
3183,46,Female,76,2.23,Moderate,Cold,Poor
3184,22,Female,106,4.01,Low,Hot,Good
3185,35,Female,100,3.72,Moderate,Hot,Good
3186,30,Male,106,4.21,Moderate,Hot,Good
3187,22,Female,47,2.13,High,Normal,Good
3188,54,Male,47,2.52,High,Normal,Good
3189,69,Male,72,2.04,Low,Cold,Poor
3190,35,Female,80,2.51,Moderate,Cold,Good
3191,43,Female,92,3.21,High,Cold,Good
3192,57,Male,51,2.04,High,Cold,Good
3193,48,Female,103,4.05,High,Cold,Good
3194,65,Female,75,2.77,Moderate,Normal,Good
3195,27,Male,83,3.29,High,Cold,Good
3196,54,Male,92,3.98,Moderate,Hot,Good
3197,69,Female,98,2.96,Low,Normal,Good
3198,28,Female,73,2.98,Low,Hot,Good
3199,26,Male,92,3.62,Moderate,Hot,Good
3200,48,Female,61,2.23,Moderate,Normal,Good
3201,50,Female,78,2.68,Moderate,Normal,Good
3202,26,Female,51,3.6,High,Hot,Good
3203,56,Female,50,2.99,High,Hot,Good
3204,28,Female,105,2.87,Moderate,Cold,Poor
3205,30,Male,56,2.69,High,Normal,Good
3206,27,Male,64,2.81,High,Cold,Good
3207,45,Female,81,2.4,Low,Cold,Poor
3208,29,Female,84,3.42,High,Cold,Good
3209,67,Female,85,2.77,High,Normal,Good
3210,59,Female,53,2.3,High,Normal,Good
3211,39,Female,91,3.35,High,Normal,Good
3212,18,Male,88,3.4,Moderate,Normal,Good
3213,68,Male,63,1.85,Low,Normal,Poor
3214,68,Female,86,2.77,Low,Normal,Good
3215,43,Female,57,2.27,Moderate,Cold,Good
3216,20,Male,47,1.98,Moderate,Cold,Good
3217,44,Female,102,4.62,Moderate,Hot,Good
3218,44,Male,96,3.51,High,Normal,Good
3219,41,Female,53,2.23,Low,Hot,Good
3220,47,Male,97,4.24,High,Hot,Good
3221,61,Female,65,2.21,Moderate,Cold,Good
3222,56,Female,106,3.76,Moderate,Hot,Good
3223,22,Male,58,3.07,High,Hot,Good
3224,59,Male,94,2.62,Moderate,Cold,Poor
3225,21,Female,61,3.49,High,Hot,Good
3226,43,Female,92,3.81,High,Normal,Good
3227,44,Male,77,3.56,High,Normal,Good
3228,64,Female,50,1.5,Low,Normal,Good
3229,24,Female,78,3.19,Low,Hot,Good
3230,31,Female,60,1.55,Moderate,Cold,Poor
3231,26,Male,56,3.01,High,Normal,Good
3232,36,Female,85,4.28,High,Hot,Good
3233,23,Male,103,3.25,Moderate,Normal,Good
3234,41,Female,60,2.73,Moderate,Hot,Good
3235,23,Female,81,3.15,Low,Hot,Good
3236,51,Female,82,3.13,Moderate,Normal,Good
3237,34,Male,58,1.89,Moderate,Cold,Good
3238,68,Female,109,3.65,High,Cold,Good
3239,48,Female,74,4.03,High,Hot,Good
3240,35,Male,74,3.71,High,Hot,Good
3241,28,Female,71,3.13,High,Normal,Good
3242,56,Male,62,2.38,High,Normal,Good
3243,41,Female,56,2.71,Low,Hot,Good
3244,48,Female,66,3.16,High,Cold,Good
3245,30,Male,69,2.74,Low,Hot,Good
3246,63,Female,51,2.0,Moderate,Normal,Good
3247,41,Male,63,3.14,High,Normal,Good
3248,68,Male,53,1.85,High,Normal,Good
3249,53,Female,84,1.87,Low,Cold,Poor
3250,41,Female,92,2.92,Low,Cold,Good
3251,59,Female,89,2.92,Moderate,Cold,Good
3252,31,Female,73,2.9,High,Normal,Good
3253,24,Male,81,3.17,High,Normal,Good
3254,40,Female,82,2.68,Moderate,Cold,Good
3255,21,Female,88,2.49,Low,Normal,Poor
3256,40,Female,104,4.28,Low,Hot,Good
3257,25,Female,85,1.9,Low,Cold,Poor
3258,22,Male,58,2.87,High,Normal,Good
3259,43,Female,102,3.57,High,Cold,Good
3260,68,Male,49,1.5,Moderate,Cold,Good
3261,33,Male,45,1.58,Low,Hot,Good
3262,28,Female,97,2.67,Moderate,Cold,Poor
3263,57,Female,76,4.14,High,Hot,Good
3264,31,Male,47,1.5,Low,Normal,Good
3265,44,Male,106,4.63,Moderate,Hot,Good
3266,62,Male,69,1.73,Moderate,Cold,Poor
3267,61,Male,90,3.58,Low,Hot,Good
3268,65,Female,58,1.88,Low,Hot,Good
3269,35,Male,51,1.63,Low,Cold,Good
3270,66,Female,99,3.09,Low,Normal,Good
3271,32,Female,101,3.43,Low,Hot,Good
3272,41,Male,60,1.83,Moderate,Cold,Good
3273,40,Male,89,3.27,Moderate,Cold,Good
3274,66,Male,98,3.64,Low,Hot,Good
3275,47,Male,97,3.55,Low,Hot,Good
3276,44,Female,91,3.52,High,Normal,Good
3277,23,Male,99,3.19,Moderate,Normal,Good
3278,35,Male,60,2.24,Moderate,Normal,Good
3279,62,Female,108,4.01,Low,Hot,Good
3280,46,Male,66,3.83,High,Hot,Good
3281,56,Female,91,3.02,High,Cold,Good
3282,62,Male,53,2.21,High,Normal,Good
3283,53,Female,57,1.65,High,Cold,Poor
3284,54,Male,80,2.11,Low,Cold,Poor
3285,57,Female,84,3.36,Low,Hot,Good
3286,44,Male,45,3.53,High,Hot,Good
3287,21,Female,65,3.29,High,Hot,Good
3288,18,Male,47,2.33,High,Normal,Good
3289,32,Male,98,3.87,Moderate,Normal,Good
3290,46,Male,103,3.08,Low,Cold,Poor
3291,34,Male,104,3.74,Moderate,Cold,Good
3292,34,Female,95,3.5,Moderate,Normal,Good
3293,24,Male,86,2.33,Moderate,Cold,Poor
3294,61,Male,92,3.07,Low,Hot,Good
3295,38,Male,64,1.5,Low,Cold,Poor
3296,30,Male,95,4.04,Moderate,Hot,Good
3297,38,Male,81,2.56,Moderate,Cold,Good
3298,43,Female,52,1.5,Low,Cold,Poor
3299,21,Female,65,2.33,Moderate,Cold,Good
3300,57,Male,69,3.18,High,Normal,Good
3301,52,Female,93,3.4,High,Normal,Good
3302,54,Male,101,3.58,Moderate,Hot,Good
3303,45,Male,105,3.14,Moderate,Cold,Poor
3304,37,Male,78,3.42,Low,Hot,Good
3305,41,Female,64,1.79,Low,Cold,Poor
3306,47,Female,51,2.37,High,Normal,Good
3307,33,Female,96,2.88,Low,Cold,Good
3308,40,Male,56,1.5,Low,Normal,Poor
3309,65,Female,59,3.13,Moderate,Hot,Good
3310,60,Female,93,4.1,High,Hot,Good
3311,31,Female,86,3.46,High,Cold,Good
3312,32,Male,107,3.0,Low,Normal,Poor
3313,40,Female,97,3.33,Moderate,Normal,Good
3314,26,Female,97,4.79,High,Hot,Good
3315,69,Female,87,3.35,High,Normal,Good
3316,59,Male,48,2.24,Low,Hot,Good
3317,28,Female,85,2.94,Moderate,Normal,Good
3318,21,Female,46,1.86,Low,Hot,Good
3319,67,Male,65,1.62,Moderate,Cold,Poor
3320,35,Male,53,1.85,Low,Hot,Good
3321,43,Female,47,1.5,Low,Cold,Good
3322,48,Male,93,4.09,High,Normal,Good
3323,40,Male,78,4.3,High,Hot,Good
3324,22,Male,59,2.44,Moderate,Normal,Good
3325,36,Male,72,2.67,High,Normal,Good
3326,21,Male,75,3.11,High,Cold,Good
3327,62,Female,81,1.5,Low,Cold,Poor
3328,34,Female,109,4.13,Low,Hot,Good
3329,43,Female,97,4.32,Moderate,Hot,Good
3330,40,Female,74,2.07,Moderate,Cold,Poor
3331,61,Female,108,2.77,Low,Cold,Poor
3332,58,Female,100,3.54,High,Cold,Good
3333,37,Male,91,2.26,Low,Cold,Poor
3334,18,Female,46,1.5,Low,Normal,Good
3335,31,Female,56,2.94,High,Normal,Good
3336,46,Male,59,1.61,Low,Cold,Poor
3337,18,Male,104,2.8,Low,Normal,Poor
3338,20,Female,62,2.08,Low,Hot,Good
3339,51,Male,104,3.78,Moderate,Hot,Good
3340,25,Female,63,2.86,High,Normal,Good
3341,59,Male,66,3.27,Moderate,Hot,Good
3342,55,Female,79,4.08,High,Hot,Good
3343,20,Male,54,2.12,Moderate,Normal,Good
3344,28,Male,68,2.67,Low,Hot,Good
3345,54,Female,48,1.5,Moderate,Cold,Good
3346,66,Male,81,3.26,Low,Hot,Good
3347,18,Male,104,3.03,Low,Normal,Poor
3348,38,Female,55,3.12,Moderate,Hot,Good
3349,61,Male,88,3.42,High,Normal,Good
3350,51,Female,69,2.42,Low,Hot,Good
3351,69,Male,60,3.15,Moderate,Hot,Good
3352,19,Male,79,2.84,Low,Normal,Good
3353,36,Male,103,3.99,Moderate,Normal,Good
3354,68,Female,52,1.72,Low,Normal,Good
3355,20,Male,82,2.13,Low,Normal,Poor
3356,40,Male,67,2.24,High,Cold,Good
3357,36,Male,72,3.08,Moderate,Hot,Good
3358,64,Female,48,2.39,Moderate,Hot,Good
3359,20,Female,51,2.4,Moderate,Hot,Good
3360,48,Female,63,1.8,Low,Cold,Poor
3361,45,Male,63,2.23,Low,Hot,Good
3362,37,Female,57,2.22,Moderate,Cold,Good
3363,28,Male,92,3.37,Moderate,Normal,Good
3364,67,Male,72,2.48,High,Cold,Good
3365,39,Male,83,1.88,Low,Cold,Poor
3366,61,Female,86,2.64,Moderate,Cold,Good
3367,29,Male,46,1.5,Low,Normal,Good
3368,27,Female,54,1.95,Moderate,Cold,Good
3369,55,Female,101,3.08,Moderate,Cold,Good
3370,61,Male,81,3.04,Moderate,Normal,Good
3371,32,Male,84,3.16,Moderate,Normal,Good
3372,61,Female,104,4.04,High,Normal,Good
3373,65,Female,63,2.64,High,Cold,Good
3374,50,Female,88,3.33,Moderate,Normal,Good
3375,54,Female,80,2.41,Moderate,Normal,Good
3376,38,Female,46,1.5,Low,Normal,Good
3377,50,Female,74,2.59,Low,Normal,Good
3378,29,Female,95,3.45,High,Cold,Good
3379,69,Female,68,3.3,High,Hot,Good
3380,28,Female,57,1.5,Low,Cold,Poor
3381,27,Male,108,4.42,High,Cold,Good
3382,26,Female,72,2.81,Low,Hot,Good
3383,60,Male,52,1.5,Low,Normal,Poor
3384,64,Male,79,2.69,Low,Hot,Good
3385,32,Male,46,1.5,Low,Cold,Good
3386,29,Male,108,3.06,Low,Cold,Poor
3387,53,Male,91,3.84,Moderate,Hot,Good
3388,61,Female,108,2.69,Low,Normal,Poor
3389,31,Female,72,3.12,Moderate,Normal,Good
3390,27,Female,80,2.49,Moderate,Cold,Good
3391,42,Female,92,3.5,Moderate,Normal,Good
3392,47,Female,65,2.26,Low,Normal,Good
3393,48,Female,70,1.89,Low,Cold,Poor
3394,38,Female,45,1.58,Low,Hot,Good
3395,38,Female,90,2.74,Low,Normal,Good
3396,64,Female,103,4.05,Moderate,Hot,Good
3397,29,Male,108,3.39,Low,Cold,Good
3398,33,Male,49,2.4,Moderate,Hot,Good
3399,57,Female,58,2.28,High,Normal,Good
3400,59,Male,96,2.9,Moderate,Normal,Good
3401,62,Female,73,2.46,Moderate,Normal,Good
3402,25,Female,67,3.01,High,Normal,Good
3403,52,Male,97,1.92,Low,Cold,Poor
3404,22,Male,60,2.56,Moderate,Hot,Good
3405,55,Female,96,2.9,Moderate,Normal,Good
3406,19,Female,45,2.21,Moderate,Hot,Good
3407,46,Male,88,3.4,High,Normal,Good
3408,61,Male,94,3.27,Low,Hot,Good
3409,25,Female,64,2.03,Moderate,Cold,Good
3410,22,Male,85,3.29,Moderate,Hot,Good
3411,33,Male,89,2.78,Low,Normal,Good
3412,24,Male,71,2.37,Low,Hot,Good
3413,61,Female,77,1.8,Low,Normal,Poor
3414,37,Female,80,3.21,High,Normal,Good
3415,65,Female,83,2.27,Moderate,Normal,Poor
3416,39,Female,98,3.08,Moderate,Normal,Good
3417,33,Male,76,2.61,Moderate,Normal,Good
3418,23,Female,97,3.45,High,Cold,Good
3419,29,Male,100,3.42,Moderate,Cold,Good
3420,35,Male,108,3.94,High,Cold,Good
3421,57,Male,74,2.4,Moderate,Cold,Good
3422,58,Female,57,2.46,High,Cold,Good
3423,47,Male,69,2.35,Low,Hot,Good
3424,53,Male,62,2.95,High,Hot,Good
3425,59,Male,62,1.75,Low,Cold,Poor
3426,49,Female,65,1.71,Moderate,Cold,Poor
3427,66,Male,57,1.5,Moderate,Cold,Poor
3428,26,Male,88,3.28,High,Cold,Good
3429,25,Male,81,2.49,Moderate,Normal,Good
3430,45,Male,90,3.02,Moderate,Cold,Good
3431,24,Male,70,3.16,High,Cold,Good
3432,63,Female,58,2.97,Moderate,Hot,Good
3433,25,Male,47,2.06,High,Cold,Good
3434,46,Male,62,3.28,High,Normal,Good
3435,30,Female,91,2.33,Low,Normal,Poor
3436,56,Female,103,3.14,Low,Hot,Good
3437,64,Male,91,4.0,High,Hot,Good
3438,30,Female,77,3.42,Low,Hot,Good
3439,32,Male,60,1.66,Low,Normal,Poor
3440,55,Female,50,1.9,Moderate,Normal,Good
3441,32,Male,48,2.24,Moderate,Hot,Good
3442,21,Male,78,2.01,Low,Normal,Poor
3443,49,Male,53,1.59,Low,Normal,Good
3444,25,Male,77,3.59,High,Hot,Good
3445,29,Female,101,3.89,Moderate,Hot,Good
3446,21,Female,94,4.63,High,Hot,Good
3447,31,Male,74,4.11,High,Hot,Good
3448,29,Male,85,2.9,Low,Hot,Good
3449,67,Female,46,1.5,Low,Hot,Good
3450,31,Male,50,1.72,Moderate,Normal,Good
3451,57,Male,105,4.88,High,Hot,Good
3452,66,Male,57,1.5,Low,Normal,Poor
3453,65,Male,103,3.61,High,Cold,Good
3454,33,Male,82,2.68,Low,Normal,Good
3455,40,Female,58,1.9,Moderate,Normal,Good
3456,40,Female,104,2.73,Low,Normal,Poor
3457,30,Female,50,2.37,Low,Hot,Good
3458,67,Female,96,2.67,Moderate,Normal,Poor
3459,25,Male,78,3.3,Low,Hot,Good
3460,53,Female,104,3.43,High,Normal,Good
3461,63,Male,66,3.69,High,Hot,Good
3462,62,Female,99,3.09,High,Cold,Good
3463,22,Male,57,2.46,High,Normal,Good
3464,37,Female,106,4.0,Moderate,Normal,Good
3465,41,Female,51,3.5,High,Hot,Good
3466,21,Male,86,3.34,High,Cold,Good
3467,67,Female,59,2.69,Moderate,Hot,Good
3468,26,Female,97,4.67,High,Hot,Good
3469,66,Female,53,1.73,Moderate,Cold,Good
3470,55,Female,66,1.5,Low,Normal,Poor
3471,66,Male,59,1.94,High,Cold,Good
3472,47,Male,64,2.09,Moderate,Normal,Good
3473,61,Female,51,1.8,High,Cold,Good
3474,62,Female,55,2.46,High,Normal,Good
3475,29,Female,95,4.29,High,Normal,Good
3476,67,Female,61,3.19,High,Hot,Good
3477,46,Female,95,3.73,High,Cold,Good
3478,21,Female,72,1.96,Low,Normal,Poor
3479,29,Female,97,3.28,High,Cold,Good
3480,34,Female,84,3.33,Moderate,Hot,Good
3481,49,Female,81,1.67,Low,Cold,Poor
3482,29,Male,105,4.04,High,Cold,Good
3483,32,Male,78,3.4,High,Normal,Good
3484,65,Female,64,1.5,Moderate,Cold,Poor
3485,22,Female,77,2.8,High,Cold,Good
3486,31,Female,61,2.41,High,Normal,Good
3487,50,Male,45,1.5,Low,Cold,Good
3488,44,Female,103,4.21,High,Normal,Good
3489,47,Female,67,1.89,Low,Cold,Poor
3490,36,Female,95,2.46,Low,Normal,Poor
3491,21,Female,86,2.65,Low,Cold,Good
3492,51,Female,82,1.73,Low,Cold,Poor
3493,65,Female,94,3.0,Low,Hot,Good
3494,43,Female,63,2.22,Low,Normal,Good
3495,37,Female,94,2.43,Low,Normal,Poor
3496,34,Male,66,2.92,High,Cold,Good
3497,27,Male,109,3.92,High,Normal,Good
3498,25,Female,65,3.13,Low,Hot,Good
3499,19,Male,92,3.42,High,Cold,Good
3500,20,Female,98,3.84,High,Normal,Good
3501,47,Male,70,2.32,Moderate,Cold,Good
3502,27,Female,92,3.51,Low,Hot,Good
3503,67,Female,98,3.46,High,Normal,Good
3504,32,Male,62,2.5,Moderate,Cold,Good
3505,40,Male,106,4.68,High,Hot,Good
3506,52,Female,83,3.33,High,Cold,Good
3507,41,Male,108,4.68,Moderate,Hot,Good
3508,33,Female,60,1.68,Moderate,Cold,Poor
3509,23,Female,57,2.64,Moderate,Normal,Good
3510,26,Male,107,4.6,High,Normal,Good
3511,44,Female,73,2.31,Moderate,Cold,Good
3512,39,Female,108,3.78,Moderate,Cold,Good
3513,51,Female,92,2.68,Moderate,Cold,Poor
3514,32,Female,57,1.75,Moderate,Cold,Good
3515,49,Female,89,3.0,Moderate,Normal,Good
3516,18,Male,91,3.56,High,Normal,Good
3517,22,Male,49,3.47,High,Hot,Good
3518,68,Male,65,2.53,High,Normal,Good
3519,35,Male,65,2.44,Moderate,Normal,Good
3520,41,Male,104,4.23,High,Cold,Good
3521,40,Male,66,2.06,Moderate,Cold,Good
3522,23,Male,72,2.82,High,Normal,Good
3523,56,Female,86,1.67,Low,Cold,Poor
3524,33,Female,46,1.51,Low,Cold,Good
3525,62,Female,109,2.9,Low,Normal,Poor
3526,62,Male,104,3.76,Moderate,Normal,Good
3527,46,Male,56,2.72,High,Normal,Good
3528,20,Female,109,4.09,High,Cold,Good
3529,41,Female,106,3.08,Low,Normal,Poor
3530,25,Male,99,3.33,Low,Normal,Good
3531,19,Female,83,2.59,Low,Cold,Good
3532,18,Male,82,3.42,Moderate,Normal,Good
3533,27,Female,103,4.28,High,Normal,Good
3534,37,Male,61,3.07,Moderate,Hot,Good
3535,40,Female,90,2.17,Low,Cold,Poor
3536,63,Female,72,2.91,High,Normal,Good
3537,43,Male,99,3.79,High,Normal,Good
3538,46,Male,71,2.95,Low,Hot,Good
3539,27,Male,65,2.38,Moderate,Cold,Good
3540,20,Male,106,4.09,High,Normal,Good
3541,19,Male,86,4.28,High,Hot,Good
3542,59,Male,64,2.12,Moderate,Normal,Good
3543,62,Female,86,2.69,High,Cold,Good
3544,42,Female,93,2.73,Moderate,Cold,Poor
3545,51,Male,62,2.99,High,Normal,Good
3546,31,Male,84,2.24,Low,Normal,Poor
3547,52,Female,86,3.63,High,Normal,Good
3548,60,Male,109,2.3,Low,Cold,Poor
3549,53,Male,51,1.5,Low,Normal,Poor
3550,41,Male,72,3.63,Moderate,Hot,Good
3551,34,Male,64,2.62,High,Normal,Good
3552,43,Male,59,2.07,Low,Normal,Good
3553,25,Female,57,2.22,High,Normal,Good
3554,18,Female,75,1.92,Low,Normal,Poor
3555,43,Female,100,3.4,Moderate,Cold,Good
3556,68,Male,57,1.5,Moderate,Normal,Poor
3557,30,Female,45,3.36,High,Hot,Good
3558,64,Male,48,1.5,Low,Cold,Good
3559,69,Female,54,2.33,High,Cold,Good
3560,23,Male,71,3.16,Low,Hot,Good
3561,69,Female,92,3.64,High,Normal,Good
3562,50,Female,59,1.91,Moderate,Cold,Good
3563,31,Male,47,2.51,Moderate,Hot,Good
3564,63,Male,63,2.17,High,Cold,Good
3565,22,Female,54,2.26,Moderate,Cold,Good
3566,30,Female,95,2.37,Low,Normal,Poor
3567,65,Female,68,1.89,Moderate,Cold,Poor
3568,23,Female,84,3.01,Moderate,Cold,Good
3569,61,Male,106,3.91,High,Normal,Good
3570,21,Male,77,3.3,Moderate,Hot,Good
3571,53,Female,98,2.29,Low,Cold,Poor
3572,60,Female,56,2.4,High,Normal,Good
3573,29,Male,85,3.87,High,Hot,Good
3574,20,Female,47,2.37,Low,Hot,Good
3575,40,Male,92,2.52,Moderate,Cold,Poor
3576,41,Male,84,2.74,High,Cold,Good
3577,28,Male,71,3.32,High,Normal,Good
3578,65,Female,57,2.45,Low,Hot,Good
3579,64,Male,72,2.35,Moderate,Normal,Good
3580,35,Male,75,2.94,High,Cold,Good
3581,63,Male,81,1.83,Low,Normal,Poor
3582,42,Female,104,3.95,High,Cold,Good
3583,48,Male,73,3.66,Moderate,Hot,Good
3584,68,Male,82,1.83,Low,Normal,Poor
3585,42,Male,59,2.7,High,Normal,Good
3586,27,Male,61,2.07,Low,Hot,Good
3587,28,Male,92,4.24,High,Hot,Good
3588,31,Male,94,3.13,Moderate,Normal,Good
3589,22,Male,51,2.19,Moderate,Normal,Good
3590,31,Female,100,4.04,Moderate,Hot,Good
3591,53,Female,92,2.5,Low,Normal,Poor
3592,64,Male,80,2.38,High,Cold,Poor
3593,46,Male,82,3.49,High,Cold,Good
3594,65,Female,54,1.66,Low,Normal,Good
3595,46,Female,48,2.46,High,Cold,Good
3596,59,Male,57,1.96,Moderate,Normal,Good
3597,35,Male,77,3.08,Low,Hot,Good
3598,32,Male,101,3.66,Moderate,Normal,Good
3599,23,Female,92,4.05,High,Hot,Good
3600,50,Female,80,4.39,High,Hot,Good
3601,38,Male,71,2.67,High,Cold,Good
3602,54,Male,106,2.72,Moderate,Cold,Poor
3603,43,Female,56,2.76,Low,Hot,Good
3604,24,Male,81,3.98,High,Hot,Good
3605,28,Male,45,1.92,Low,Hot,Good
3606,69,Female,68,1.54,Moderate,Cold,Poor
3607,34,Female,52,1.91,Moderate,Cold,Good
3608,44,Female,96,2.79,Moderate,Cold,Poor
3609,39,Female,60,2.62,Low,Hot,Good
3610,35,Female,47,1.5,Low,Cold,Good
3611,34,Male,51,1.91,High,Cold,Good
3612,55,Female,91,2.4,Low,Cold,Poor
3613,60,Male,73,2.53,High,Normal,Good
3614,54,Male,49,3.09,High,Hot,Good
3615,23,Male,46,2.78,Moderate,Hot,Good
3616,60,Female,48,1.53,Moderate,Cold,Good
3617,42,Female,53,2.55,High,Cold,Good
3618,43,Female,92,4.96,High,Hot,Good
3619,53,Male,45,1.87,High,Normal,Good
3620,33,Male,95,3.46,High,Normal,Good
3621,43,Female,99,3.67,High,Normal,Good
3622,45,Male,97,3.7,Moderate,Normal,Good
3623,61,Female,66,3.73,High,Hot,Good
3624,66,Female,86,2.5,Moderate,Cold,Poor
3625,36,Male,69,3.19,Moderate,Hot,Good
3626,41,Female,68,1.52,Low,Cold,Poor
3627,36,Female,94,4.55,High,Hot,Good
3628,31,Male,97,3.9,Low,Hot,Good
3629,49,Male,92,3.59,High,Cold,Good
3630,59,Male,52,1.5,Low,Normal,Poor
3631,29,Male,87,2.76,Low,Normal,Good
3632,44,Male,107,3.92,Moderate,Hot,Good
3633,44,Male,53,2.67,High,Normal,Good
3634,18,Female,51,1.94,Low,Normal,Good
3635,20,Male,54,1.66,Moderate,Cold,Good
3636,38,Male,97,4.19,Moderate,Hot,Good
3637,48,Male,101,3.26,Low,Normal,Good
3638,39,Female,71,2.87,Low,Hot,Good
3639,21,Female,67,2.03,Moderate,Normal,Good
3640,59,Female,47,1.5,Low,Normal,Good
3641,45,Male,107,3.21,Moderate,Cold,Good
3642,27,Female,93,2.7,Low,Normal,Poor
3643,66,Female,65,1.5,Moderate,Cold,Poor
3644,40,Female,98,4.81,High,Hot,Good
3645,66,Male,93,2.6,Moderate,Normal,Poor
3646,46,Female,92,3.53,Moderate,Hot,Good
3647,20,Female,46,1.5,Moderate,Cold,Good
3648,55,Male,50,2.42,Moderate,Hot,Good
3649,22,Male,100,3.05,Low,Normal,Good
3650,49,Male,93,3.47,Moderate,Cold,Good
3651,42,Female,104,3.41,Moderate,Normal,Good
3652,45,Male,102,2.82,Moderate,Cold,Poor
3653,22,Female,104,3.01,Moderate,Cold,Poor
3654,28,Female,98,2.74,Low,Normal,Poor
3655,62,Male,81,4.03,High,Hot,Good
3656,65,Male,50,1.5,Moderate,Cold,Good
3657,31,Male,92,3.34,High,Cold,Good
3658,37,Male,57,1.5,Low,Normal,Poor
3659,58,Female,76,3.4,Moderate,Hot,Good
3660,31,Female,96,3.87,High,Cold,Good
3661,25,Male,84,4.0,High,Hot,Good
3662,33,Female,104,3.69,High,Normal,Good
3663,27,Female,69,3.6,Moderate,Hot,Good
3664,44,Female,77,2.35,Moderate,Cold,Good
3665,59,Female,65,2.6,High,Normal,Good
3666,21,Female,48,2.9,High,Hot,Good
3667,47,Male,89,2.78,Low,Cold,Good
3668,62,Male,67,1.5,Low,Cold,Poor
3669,54,Male,92,3.34,Moderate,Normal,Good
3670,55,Female,49,2.35,High,Cold,Good
3671,68,Female,109,2.95,Moderate,Cold,Poor
3672,62,Male,91,3.3,Low,Hot,Good
3673,45,Male,54,1.5,Moderate,Cold,Poor
3674,65,Female,79,2.38,Low,Hot,Good
3675,64,Female,60,2.5,High,Normal,Good
3676,53,Male,64,2.36,Moderate,Hot,Good
3677,22,Male,89,2.85,Moderate,Normal,Good
3678,22,Male,93,3.99,Moderate,Hot,Good
3679,19,Male,83,4.15,High,Hot,Good
3680,57,Female,98,3.2,Moderate,Normal,Good
3681,29,Female,81,4.58,High,Hot,Good
3682,32,Male,51,1.56,Moderate,Normal,Good
3683,18,Female,88,3.18,Moderate,Normal,Good
3684,30,Male,92,2.54,Moderate,Cold,Poor
3685,34,Male,105,3.54,Low,Hot,Good
3686,27,Male,73,2.91,Moderate,Normal,Good
3687,34,Female,106,3.13,Moderate,Cold,Poor
3688,30,Female,88,4.81,High,Hot,Good
3689,44,Male,97,2.97,Moderate,Cold,Good
3690,30,Female,88,3.23,High,Normal,Good
3691,54,Male,101,4.38,Moderate,Hot,Good
3692,40,Male,102,3.99,Moderate,Normal,Good
3693,62,Female,73,2.73,Moderate,Normal,Good
3694,65,Female,77,3.15,Moderate,Hot,Good
3695,26,Female,53,1.5,Moderate,Cold,Poor
3696,20,Female,80,3.25,High,Normal,Good
3697,45,Male,88,2.5,Moderate,Cold,Poor
3698,22,Male,84,3.12,High,Normal,Good
3699,18,Male,62,1.67,Low,Normal,Poor
3700,19,Male,49,2.5,High,Cold,Good
3701,59,Female,49,2.16,High,Cold,Good
3702,32,Female,52,2.64,High,Normal,Good
3703,29,Female,65,2.61,Moderate,Normal,Good
3704,44,Female,77,3.45,Moderate,Hot,Good
3705,53,Female,84,2.41,Moderate,Cold,Poor
3706,32,Female,45,2.65,High,Hot,Good
3707,19,Female,109,3.32,Moderate,Normal,Good
3708,33,Female,66,1.89,Low,Cold,Poor
3709,64,Female,74,1.67,Moderate,Cold,Poor
3710,38,Female,50,3.04,High,Hot,Good
3711,60,Female,62,1.5,Low,Cold,Poor
3712,41,Male,71,2.74,Low,Hot,Good
3713,39,Male,68,3.03,High,Cold,Good
3714,27,Male,84,3.24,High,Normal,Good
3715,35,Female,74,3.42,Moderate,Hot,Good
3716,27,Male,57,3.82,High,Hot,Good
3717,21,Female,83,2.98,Moderate,Cold,Good
3718,51,Female,105,3.41,Low,Hot,Good
3719,32,Female,94,3.54,Moderate,Hot,Good
3720,69,Male,83,3.63,Moderate,Hot,Good
3721,66,Female,89,1.82,Low,Cold,Poor
3722,45,Male,71,2.61,Low,Normal,Good
3723,34,Female,106,3.97,High,Normal,Good
3724,43,Male,68,1.73,Low,Normal,Poor
3725,38,Female,91,3.4,High,Cold,Good
3726,30,Female,47,1.67,Moderate,Cold,Good
3727,36,Female,58,2.37,Low,Hot,Good
3728,34,Male,89,4.83,High,Hot,Good
